component_id	field	de	en	es	fr	it	pt	nl	pl	tr	ru	zh-Hans	ja
target_state_comparison	name	Soll-Ist-Abgleich	Target/current-state comparison	Comparación objetivo/estado actual	Comparaison cible/état actuel	Confronto obiettivo/stato attuale	Comparação objetivo/estado atual	Doel-/huidige-staatvergelijking	Porównanie celu i stanu obecnego	Hedef/mevcut durum karşılaştırması	Сравнение цели и текущего состояния	目标/当前状态对比	目標/現状比較
target_state_comparison	summary	Vergleicht Ziel und Ist-Zustand, prüft Duplikate und dokumentiert Löschrisiken.	Compares target and current state, checks duplicates, and documents deletion risks.	Compara objetivo y estado actual, revisa duplicados y documenta riesgos de eliminación.	Compare la cible et l'état actuel, vérifie les doublons et documente les risques de suppression.	Confronta obiettivo e stato attuale, controlla duplicati e documenta rischi di eliminazione.	Compara objetivo e estado atual, verifica duplicidades e documenta riscos de exclusão.	Vergelijkt doel en huidige staat, controleert duplicaten en documenteert verwijderrisico's.	Porównuje cel ze stanem obecnym, sprawdza duplikaty i dokumentuje ryzyko usunięcia.	Hedef ve mevcut durumu karşılaştırır, kopyaları denetler ve silme risklerini belgeler.	Сравнивает целевое и текущее состояние, проверяет дубликаты и фиксирует риски удаления.	比较目标和当前状态，检查重复项并记录删除风险。	目標と現状を比較し、重複を確認し、削除リスクを記録する。
template_library	name	Vorlagenbibliothek	Template library	Biblioteca de plantillas	Bibliothèque de modèles	Libreria di modelli	Biblioteca de modelos	Sjablonenbibliotheek	Biblioteka szablonów	Şablon kitaplığı	Библиотека шаблонов	模板库	テンプレートライブラリ
template_library	summary	Enthält nummerierte Agentenvorlagen für Betriebssysteme, Profile, WSL und Container.	Contains numbered agent templates for operating systems, profiles, WSL, and containers.	Contiene plantillas numeradas para sistemas operativos, perfiles, WSL y contenedores.	Contient des modèles d'agent numérotés pour systèmes, profils, WSL et conteneurs.	Contiene modelli agente numerati per sistemi operativi, profili, WSL e container.	Contém modelos numerados de agente para sistemas operacionais, perfis, WSL e contêineres.	Bevat genummerde agentsjablonen voor besturingssystemen, profielen, WSL en containers.	Zawiera numerowane szablony agenta dla systemów, profili, WSL i kontenerów.	İşletim sistemleri, profiller, WSL ve konteynerler için numaralı ajan şablonları içerir.	Содержит нумерованные шаблоны агента для ОС, профилей, WSL и контейнеров.	包含面向操作系统、配置文件、WSL 和容器的编号代理模板。	OS、プロファイル、WSL、コンテナ向けの番号付きエージェントテンプレートを含む。
program_recommendations	name	Programmempfehlungen	Application recommendations	Recomendaciones de aplicaciones	Recommandations d'applications	Consigli per applicazioni	Recomendações de aplicativos	App-aanbevelingen	Rekomendacje aplikacji	Uygulama önerileri	Рекомендации приложений	应用推荐	アプリ推奨
program_recommendations	summary	Leitet passende Tool-Kategorien aus Nutzerprofil, Plattform und vorhandener Software ab.	Derives suitable tool categories from user profile, platform, and existing software.	Deriva categorías de herramientas a partir del perfil, la plataforma y el software existente.	Déduit les catégories d'outils adaptées à partir du profil, de la plateforme et des logiciels existants.	Deriva categorie di strumenti adatte da profilo utente, piattaforma e software presente.	Deriva categorias de ferramentas a partir do perfil, da plataforma e do software existente.	Leidt geschikte toolcategorieën af uit profiel, platform en bestaande software.	Wyprowadza właściwe kategorie narzędzi z profilu, platformy i istniejącego oprogramowania.	Kullanıcı profili, platform ve mevcut yazılımdan uygun araç kategorileri çıkarır.	Выводит подходящие категории инструментов из профиля, платформы и установленного ПО.	根据用户配置、平台和现有软件推导合适的工具类别。	ユーザープロファイル、プラットフォーム、既存ソフトから適切なツール分類を導く。
security_decisions	name	Sicherheitsentscheidungen	Security decisions	Decisiones de seguridad	Décisions de sécurité	Decisioni di sicurezza	Decisões de segurança	Beveiligingsbeslissingen	Decyzje bezpieczeństwa	Güvenlik kararları	Решения по безопасности	安全决策	セキュリティ判断
security_decisions	summary	Führt riskante Schutzmaßnahmen über dokumentierte Fragen, Freigaben und Rollback-Hinweise.	Routes risky protections through documented questions, approvals, and rollback notes.	Canaliza medidas de protección riesgosas mediante preguntas, aprobaciones y notas de reversión documentadas.	Encadre les protections risquées par des questions, validations et notes de retour arrière documentées.	Gestisce misure di protezione rischiose tramite domande, approvazioni e note di rollback documentate.	Conduz proteções arriscadas por perguntas, aprovações e notas de reversão documentadas.	Leidt risicovolle bescherming via gedocumenteerde vragen, goedkeuringen en rollback-notities.	Prowadzi ryzykowne zabezpieczenia przez udokumentowane pytania, zgody i notatki wycofania.	Riskli korumaları belgelenmiş sorular, onaylar ve geri alma notları üzerinden yürütür.	Проводит рискованные меры защиты через задокументированные вопросы, согласования и откат.	通过记录的问题、批准和回滚说明处理高风险保护措施。	リスクのある保護策を、記録された質問、承認、ロールバック情報で進める。
baseline_collection	name	Baseline-Erfassung	Baseline collection	Recopilación de línea base	Collecte de référence	Raccolta baseline	Coleta de linha de base	Baselineverzameling	Zbieranie bazowego stanu	Temel durum toplama	Сбор базовой линии	基线采集	ベースライン収集
baseline_collection	summary	Sammelt System-, Netzwerk-, Paket- und Umgebungsdaten nur in erlaubten privaten oder lokalen Bereichen.	Collects system, network, package, and environment data only in allowed private or local areas.	Recopila datos de sistema, red, paquetes y entorno solo en áreas privadas o locales permitidas.	Collecte les données système, réseau, paquets et environnement uniquement dans les zones privées ou locales autorisées.	Raccoglie dati di sistema, rete, pacchetti e ambiente solo in aree private o locali consentite.	Coleta dados de sistema, rede, pacotes e ambiente apenas em áreas privadas ou locais permitidas.	Verzamelt systeem-, netwerk-, pakket- en omgevingsgegevens alleen in toegestane private of lokale gebieden.	Zbiera dane systemu, sieci, pakietów i środowiska tylko w dozwolonych prywatnych lub lokalnych obszarach.	Sistem, ağ, paket ve ortam verilerini yalnızca izin verilen özel veya yerel alanlarda toplar.	Собирает данные системы, сети, пакетов и окружения только в разрешенных частных или локальных областях.	仅在允许的私有或本地区域收集系统、网络、包和环境数据。	システム、ネットワーク、パッケージ、環境データを許可された非公開またはローカル領域だけで収集する。
change_documentation	name	Änderungsdokumentation	Change documentation	Documentación de cambios	Documentation des changements	Documentazione delle modifiche	Documentação de alterações	Wijzigingsdocumentatie	Dokumentacja zmian	Değişiklik dokümantasyonu	Документация изменений	变更文档	変更ドキュメント
change_documentation	summary	Hält Ausgangszustand, Entscheidung, Umsetzung, Validierung und Ergebnis nachvollziehbar fest.	Records initial state, decision, implementation, validation, and result in a traceable way.	Registra estado inicial, decisión, implementación, validación y resultado de forma trazable.	Consigne l'état initial, la décision, la mise en œuvre, la validation et le résultat de manière traçable.	Registra stato iniziale, decisione, implementazione, validazione e risultato in modo tracciabile.	Registra estado inicial, decisão, execução, validação e resultado de forma rastreável.	Legt beginsituatie, besluit, uitvoering, validatie en resultaat traceerbaar vast.	Zapisuje stan początkowy, decyzję, wykonanie, walidację i wynik w sposób śledzalny.	Başlangıç durumu, karar, uygulama, doğrulama ve sonucu izlenebilir biçimde kaydeder.	Фиксирует исходное состояние, решение, выполнение, проверку и результат с прослеживаемостью.	可追踪地记录初始状态、决策、实施、验证和结果。	初期状態、判断、実施、検証、結果を追跡可能に記録する。
rollback_path	name	Rollback-Pfad	Rollback path	Ruta de reversión	Chemin de retour arrière	Percorso di rollback	Caminho de reversão	Rollbackpad	Ścieżka wycofania	Geri alma yolu	Путь отката	回滚路径	ロールバック手順
rollback_path	summary	Beschreibt, wie eine Änderung sicher zurückgenommen und anschließend erneut geprüft wird.	Describes how to safely revert a change and verify it again afterward.	Describe cómo revertir un cambio de forma segura y verificarlo después.	Décrit comment annuler sûrement un changement puis le vérifier à nouveau.	Descrive come annullare in sicurezza una modifica e verificarla di nuovo.	Descreve como reverter uma alteração com segurança e verificá-la novamente.	Beschrijft hoe een wijziging veilig wordt teruggedraaid en daarna opnieuw wordt gecontroleerd.	Opisuje, jak bezpiecznie wycofać zmianę i ponownie ją zweryfikować.	Bir değişikliğin güvenle nasıl geri alınacağını ve sonra yeniden doğrulanacağını açıklar.	Описывает, как безопасно откатить изменение и затем снова проверить его.	说明如何安全撤销变更并随后再次验证。	変更を安全に戻し、その後再確認する方法を示す。
validation_suite	name	Validierungssuite	Validation suite	Conjunto de validación	Suite de validation	Suite di validazione	Suíte de validação	Validatiesuite	Zestaw walidacji	Doğrulama paketi	Набор проверок	验证套件	検証スイート
validation_suite	summary	Bündelt Repo-Guards, Template-Struktur, Skript-Syntax, UTF-8, Secret-Scan und Diff-Prüfung.	Bundles repository guards, template structure, script syntax, UTF-8, secret scan, and diff check.	Agrupa guardias del repositorio, estructura de plantillas, sintaxis de scripts, UTF-8, escaneo de secretos y revisión de diff.	Regroupe gardes du dépôt, structure des modèles, syntaxe des scripts, UTF-8, scan de secrets et contrôle des diffs.	Riunisce guardie repository, struttura modelli, sintassi script, UTF-8, scansione segreti e controllo diff.	Agrupa guardas do repositório, estrutura de modelos, sintaxe de scripts, UTF-8, varredura de segredos e verificação de diff.	Bundelt repositorybewaking, sjabloonstructuur, scriptsyntaxis, UTF-8, secret-scan en diffcontrole.	Łączy strażniki repozytorium, strukturę szablonów, składnię skryptów, UTF-8, skan sekretów i kontrolę diff.	Depo korumaları, şablon yapısı, betik sözdizimi, UTF-8, gizli bilgi taraması ve diff denetimini birleştirir.	Объединяет проверки репозитория, структуру шаблонов, синтаксис скриптов, UTF-8, поиск секретов и diff.	汇总仓库保护、模板结构、脚本语法、UTF-8、敏感信息扫描和差异检查。	リポジトリガード、テンプレート構造、スクリプト構文、UTF-8、秘密情報スキャン、差分検査をまとめる。
template_upstream_sync	name	Template-Upstream-Sync	Template upstream sync	Sincronización con upstream de plantilla	Synchronisation amont du modèle	Sincronizzazione upstream del template	Sincronização upstream do modelo	Template-upstreamsync	Synchronizacja upstream szablonu	Şablon upstream eşitlemesi	Синхронизация с upstream шаблона	模板上游同步	テンプレート上流同期
template_upstream_sync	summary	Zieht geprüfte Änderungen aus dem öffentlichen Template in private Operational-Kopien.	Pulls verified changes from the public template into private operational copies.	Trae cambios verificados de la plantilla pública a copias operativas privadas.	Récupère les changements vérifiés du modèle public vers les copies opérationnelles privées.	Porta modifiche verificate dal template pubblico nelle copie operative private.	Traz alterações verificadas do modelo público para cópias operacionais privadas.	Haalt gecontroleerde wijzigingen uit het openbare template naar private operationele kopieën.	Pobiera zweryfikowane zmiany z publicznego szablonu do prywatnych kopii operacyjnych.	Herkese açık şablondaki doğrulanmış değişiklikleri özel operasyonel kopyalara çeker.	Переносит проверенные изменения из публичного шаблона в частные рабочие копии.	将公共模板中已验证的更改拉取到私有运行副本。	公開テンプレートの検証済み変更を非公開運用コピーへ取り込む。
private_operational_repo	name	Privates Operational-Repository	Private operational repository	Repositorio operativo privado	Dépôt opérationnel privé	Repository operativo privato	Repositório operacional privado	Private operationele repository	Prywatne repozytorium operacyjne	Özel operasyonel depo	Частный операционный репозиторий	私有运行仓库	非公開運用リポジトリ
private_operational_repo	summary	Nimmt Hostdaten, Baselines, Rollbacks und Betriebsnachweise außerhalb des öffentlichen Templates auf.	Stores host data, baselines, rollbacks, and operational evidence outside the public template.	Guarda datos del equipo, líneas base, reversiones y evidencias operativas fuera de la plantilla pública.	Stocke données hôte, références, retours arrière et preuves opérationnelles hors du modèle public.	Conserva dati host, baseline, rollback e prove operative fuori dal template pubblico.	Armazena dados do host, linhas de base, reversões e evidências operacionais fora do modelo público.	Bewaart hostgegevens, baselines, rollbacks en operationeel bewijs buiten het openbare template.	Przechowuje dane hosta, stany bazowe, wycofania i dowody operacyjne poza publicznym szablonem.	Ana makine verileri, temel durumlar, geri almalar ve operasyon kanıtlarını herkese açık şablonun dışında tutar.	Хранит данные хоста, базовые состояния, откаты и операционные доказательства вне публичного шаблона.	在公共模板之外存储主机数据、基线、回滚和运行证据。	ホストデータ、ベースライン、ロールバック、運用証跡を公開テンプレート外に保存する。
wsl_container_support	name	WSL- und Container-Unterstützung	WSL and container support	Soporte de WSL y contenedores	Prise en charge WSL et conteneurs	Supporto WSL e container	Suporte a WSL e contêineres	WSL- en containerondersteuning	Obsługa WSL i kontenerów	WSL ve konteyner desteği	Поддержка WSL и контейнеров	WSL 和容器支持	WSL とコンテナ対応
wsl_container_support	summary	Ordnet WSL, Docker, Podman, Kubernetes, Ports, Volumes und Container-Sicherheitsregeln ein.	Classifies WSL, Docker, Podman, Kubernetes, ports, volumes, and container security rules.	Clasifica WSL, Docker, Podman, Kubernetes, puertos, volúmenes y reglas de seguridad de contenedores.	Classe WSL, Docker, Podman, Kubernetes, ports, volumes et règles de sécurité des conteneurs.	Classifica WSL, Docker, Podman, Kubernetes, porte, volumi e regole di sicurezza container.	Classifica WSL, Docker, Podman, Kubernetes, portas, volumes e regras de segurança de contêineres.	Ordent WSL, Docker, Podman, Kubernetes, poorten, volumes en containerbeveiligingsregels.	Klasyfikuje WSL, Docker, Podman, Kubernetes, porty, wolumeny i reguły bezpieczeństwa kontenerów.	WSL, Docker, Podman, Kubernetes, portlar, birimler ve konteyner güvenlik kurallarını sınıflandırır.	Классифицирует WSL, Docker, Podman, Kubernetes, порты, тома и правила безопасности контейнеров.	对 WSL、Docker、Podman、Kubernetes、端口、卷和容器安全规则进行分类。	WSL、Docker、Podman、Kubernetes、ポート、ボリューム、コンテナセキュリティ規則を分類する。
documentation_portal	name	Dokumentationsportal	Documentation portal	Portal de documentación	Portail de documentation	Portale documentazione	Portal de documentação	Documentatieportaal	Portal dokumentacji	Dokümantasyon portalı	Портал документации	文档门户	ドキュメントポータル
documentation_portal	summary	Verknüpft Schnellstart, Arbeitsmodell, Sicherheit, i18n, Release-Prozess und Wartungsregeln.	Links quick start, working model, security, i18n, release process, and maintenance rules.	Enlaza inicio rápido, modelo de trabajo, seguridad, i18n, proceso de lanzamiento y reglas de mantenimiento.	Relie démarrage rapide, modèle de travail, sécurité, i18n, processus de publication et règles de maintenance.	Collega avvio rapido, modello di lavoro, sicurezza, i18n, processo di rilascio e regole di manutenzione.	Liga início rápido, modelo de trabalho, segurança, i18n, processo de release e regras de manutenção.	Verbindt snelstart, werkmodel, beveiliging, i18n, releaseproces en onderhoudsregels.	Łączy szybki start, model pracy, bezpieczeństwo, i18n, proces wydań i zasady utrzymania.	Hızlı başlangıç, çalışma modeli, güvenlik, i18n, yayın süreci ve bakım kurallarını bağlar.	Связывает быстрый старт, рабочую модель, безопасность, i18n, процесс релиза и правила сопровождения.	连接快速开始、工作模型、安全、i18n、发布流程和维护规则。	クイックスタート、作業モデル、セキュリティ、i18n、リリース手順、保守ルールを結びつける。
